Non-Matching Entries:
aBivyakwa: wIn/a__adj
aBivyakwi: Apawwi/__n
aBivyaMjaka: wIn/a__adj
aBivyaMjanA: ladak/A__n
aBivyaMjana: Gar/a__n
aBIwa: wIn/a__adj
aBiwApa: Gar/a__n
aBiXA: ladak/A__n
aBiXAna: rAw/a__n
aBixarSana: Gar/a__n
aBixAwA: gudiy/A__n
aBiXeya: wIn/a__adj
aBiyAcana: Gar/a__n
aBiyaMwA: gudiy/A__n
aBiyAna: rAw/a__n
aBiyoga: rAw/a__n
aBiyogAXIna: wIn/a__adj
aBiyojana: Gar/a__n
aBiyokwA: gudiy/A__n
aBiyukwa: rAw/a__n
aBiyukwi: Apawwi/__n
abjabAMXava: None
abjaBU: Al/U__n
abjahaswa: None
abjaja: Gar/a__n
abjakarNikA: None
abjanayana: None
abjAsana: None
abjavAhanA: None
abjavAhana: None
aBoga: Karc/a__n
aBogya: anek/a__adj
aBojya: Gar/a__n
aBokwA: gudiy/A__n
aBokwavya: None
abola: wIn/a__adj
aBOwika: anek/a__adj
aboXa: wIn/a__adj
abrAhmaNa: Gar/a__n
abrahmaNya: anek/a__adj
abrAhmaNya: Gar/a__n
aBra: Gar/a__n
aBraka: Gar/a__n
aBrama: anek/a__adj
aBrAMwa: anek/a__adj
aBukwa: wIn/a__adj
aBUmi: Apawwi/__n
ABURaNa: rAw/a__n
ABURiwa: anek/a__adj
aBUwa: wIn/a__adj
aBUwapUrva: anek/a__adj
abuXa: Gar/a__n
abuxXi: Apawwi/__n
abXijA: gudiy/A__n
abXija: None
abXikaPa: Gar/a__n
abXinagarI: Axam/I__n
abXiSaya: None
abXixvIpA: None
aByAgama: Karc/a__n
aByAgawa: wIn/a__adj
aByaMga: Gar/a__n
AByaMwara: anek/a__adj
aByarcana: Karc/a__n
aByarWana: Gar/a__n
aByarWiwa: wIn/a__adj
aByAsa: rAw/a__n
aByAsakalA: gudiy/A__n
aByAsayoga: Gar/a__n
aByAsI: ladak/I__n
aByasiwa: anek/a__adj
aByaswa: wIn/a__adj
aByupagama: Gar/a__n
aByupagawa: anek/a__adj
aByupewa: anek/a__adj
aByuwWAna: Gar/a__n
aByuwWiwa: anek/a__adj
aByuxaya: Gar/a__n
aByuxiwa: anek/a__adj
acAha: rAw/a__n
acakacA: W/A__v
acakkA: kAl/A__adj
acakra: anek/a__adj
acakRu: None
acAkRuRa: wIn/a__adj
acakRuRka: anek/a__adj
acala: wIn/a__adj
acalA: kAl/A__n
acAlaka: wIn/a__adj
acalAsapwamI: Axam/I__n
acamana: Karc/a__n
Acamana: Gar/a__n
AcamanIya: anek/a__adj
acaMBA: kAl/A__n
acaMBiwa: anek/a__adj
acaMcala: anek/a__adj
acapalAhata: Gar/a__n
acapalI: Axam/I__n
AcAraBexa: Gar/a__n
AcArahIna: wIn/a__adj
acara: wIn/a__adj
AcAra: rAw/a__n
acaraja: rAw/a__n
AcaraNa: rAw/a__n
AcaraNIya: anek/a__adj
AcArasaMhiwA: ASA/__n
AcAraSAswra: Gar/a__n
AcAravicAra: Gar/a__n
AcAraxIpa: Gar/a__n
acArI: ladak/I__n
acariwa: anek/a__adj
Acariwa: wIn/a__adj
AcAryaBogIna: anek/a__adj
AcAryA: kAl/A__n
AcArya: rAw/a__n
AcAryakaraNa: Karc/a__n
AcAryAnI: Axam/I__n
AcAryaxeva: wIn/a__adj
acavA: W/A__v
aCavAnI: Axam/I__n
acawura: anek/a__adj
acAwurya: Gar/a__n
acCAburA: jyAx/A__adj
acCA: kAl/A__adj
AcCanna: anek/a__adj
acCApana: Karc/a__n
acCawa: rAw/a__n
AcCAxa: rAw/a__n
AcCAxaka: anek/a__adj
AcCAxana: Gar/a__n
AcCAxiwa: wIn/a__adj
acCinna: anek/a__adj
acCixra: anek/a__adj
acCotana: Gar/a__n
aceRta: wIn/a__adj
acewa: wIn/a__adj
acewA: kAl/A__adj
acewana: wIn/a__adj
acewanIkaraNa: Gar/a__n
acEwanya: anek/a__adj
aCexa: anek/a__adj
aCexya: anek/a__adj
acikiwsya: anek/a__adj
acikotI: None
aciMwa: wIn/a__adj
aciMwA: kAl/A__n
aciMwanIya: anek/a__adj
aciMwiwa: anek/a__adj
aciMwya: anek/a__adj
aciMwyakarma: None
aciMwyakarmA: None
aciMwyarUpa: anek/a__adj
aciMwyAwmA: jyAx/A__adj
aciramqwa: None
aciraprasUwA: gudiy/A__n
acirawA: loh/A__n
aCixra: wIn/a__adj
aCoBa: anek/a__adj
aCoha: Gar/a__n
aCopa: anek/a__adj
acUka: wIn/a__adj
aCUwa: rAw/a__n
aCUwA: kAl/A__adj
aCUwoxXAra: Gar/a__n
acyuwa: wIn/a__adj
acyuwAnaMxa: Gar/a__n
adabaMga: Gar/a__n
adabaMgA: kAl/A__adj
AdabaMxa: Gar/a__n
adacala: Gar/a__n
adagadA: jyAx/A__adj
adaga: wIn/a__adj
adagodA: jyAx/A__adj
Ada: rAw/a__n
adA: W/A__v
AdA: kAl/A__n
ada: xiK/a__v
adakA: W/A__v
AdaMbara: rAw/a__n
adaMda: wIn/a__adj
adaMgAbAja: None
adaMgAbAjI: Axam/I__n
adaMgA: kAl/A__adj
adasaTa: Karc/a__n
adawala: None
adawIsa: Karc/a__n
aDawiyA: jyAx/A__adj
adaxAra: anek/a__adj
addA: kAl/A__adj
aDEyA: ladak/A__n
adiga: anek/a__adj
Aditara: rAw/a__n
adiyala: wIn/a__adj
ADya: wIn/a__adj
ADyakulIna: anek/a__adj
AdZI: Axam/I__n
AgAha: Karc/a__n
agahana: Gar/a__n
agahaniyA: jyAx/A__adj
Aga: rAw/a__n
aGA: W/A__v
aGa: rAw/a__n
AgA: kAl/A__n
AgajanI: Axam/I__n
agala: rAw/a__n
agalA: kAl/A__adj
agama: wIn/a__adj
Agama: rAw/a__n
agamana: Karc/a__n
Agamana: rAw/a__n
agamanIyA: gudiy/A__n
aGamAra: anek/a__adj
AgaMwuka: rAw/a__n
agamya: wIn/a__adj
agamyA: ladak/A__n
agamyarUpa: anek/a__adj
agaNana: anek/a__adj
agaNanIya: anek/a__adj
aGanASaka: anek/a__adj
agaNiwa: wIn/a__adj
agaNya: anek/a__adj
agarA: W/A__v
AgAra: rAw/a__n
agarAI: Axam/I__n
aGAri: SAnwi/__n
agarva: anek/a__adj
aGAsura: Gar/a__n
agaswa: Gar/a__n
agaswyagIwA: gudiy/A__n
agaswya: Gar/a__n
agaswyakUta: Gar/a__n
agaswyamArga: None
agaswyasaMhiwA: gudiy/A__n
agaswyavata: Gar/a__n
agaswyawIrWa: Gar/a__n
aGata: wIn/a__adj
aGatiwa: anek/a__adj
agAU: None
aGavA: W/A__v
agavAnI: ladak/I__n
aGaviRa: Karc/a__n
Agawa: wIn/a__adj
aGAwa: rAw/a__n
AGAwa: rAw/a__n
agawi: Apawwi/__n
agawika: wIn/a__adj
agAXa: wIn/a__adj
ageha: Gar/a__n
aginawa: anek/a__adj
agiyA: W/A__v
agiyAra: Karc/a__n
Agneya: wIn/a__adj
AgneyapurANa: Gar/a__n
AgneyAswra: rAw/a__n
AgneyI: Axam/I__n
agnicakra: Gar/a__n
agni: Apawwi/__n
agnijvAlA: loh/A__n
agnikalA: gudiy/A__n
agnikarma: Gar/a__n
agnikArya: Gar/a__n
agnikewu: vAyu/__n
agnikriyA: gudiy/A__n
agnikumAra: Gar/a__n
agniloka: Gar/a__n
agnimAn: None
agnimaNi: SAnwi/__n
agninakRawra: Gar/a__n
agniparikriyA: None
agnipraNayana: Gar/a__n
agnipraveSa: Karc/a__n
agniprawiRTA: gudiy/A__n
agnisaMskAra: Gar/a__n
agnisevana: Gar/a__n
agniSiKA: gudiy/A__n
agnivarRA: gudiy/A__n
agnivaXU: None
agnivixyA: gudiy/A__n
agniwrewA: gudiy/A__n
agnixAha: Gar/a__n
agnixaMda: None
agnixeva: rAw/a__n
agnyAXAna: Karc/a__n
agnyupasWAna: Karc/a__n
agocara: anek/a__adj
aGoRa: wIn/a__adj
aGora: Gar/a__n
AGoRa: Gar/a__n
aGoranAWa: Gar/a__n
aGorapaMWa: Gar/a__n
aGorarUpa: Gar/a__n
AgoSa: Gar/a__n
agqha: Gar/a__n
agraBAga: Gar/a__n
agraBUmi: Apawwi/__n
Agraha: rAw/a__n
AgrahapUrvaka: Gar/a__n
AgrahAyaNa: Gar/a__n
agrAhya: anek/a__adj
agrAhyA: loh/A__n
agra: wIn/a__adj
agrajA: kAl/A__n
agrAmya: anek/a__adj
aGrAna: Karc/a__n
agrapUjA: gudiy/A__n
agrAsana: Karc/a__n
agrASana: Gar/a__n
agrasWAna: Karc/a__n
AGrAwa: anek/a__adj
agrayoXI: None
agresara: Gar/a__n
AGreya: anek/a__adj
agrima: wIn/a__adj
aguA: kAl/A__n
aguAI: Axam/I__n
aguAnI: Axam/I__n
agUDaBAva: anek/a__adj
agUDa: anek/a__adj
aguNa: wIn/a__adj
aguNajFa: anek/a__adj
aguNaSIla: None
AGUrNa: wIn/a__adj
aguru: qwu/__n
aguvA: ladak/A__n
aguvAnI: Axam/I__n
AhA: kAl/A__adj
ahalyA: ladak/A__n
ahama: wIn/a__adj
aham: Axam/I__n
ahaMkAra: rAw/a__n
Ahanana: Karc/a__n
Ahara: rAw/a__n
AhAra: rAw/a__n
AharaNa: Gar/a__n
aharaNIya: anek/a__adj
AhArapAka: Gar/a__n
AhArasaMBava: None
AhAravihAra: Gar/a__n
AhAravixyA: gudiy/A__n
ahArya: anek/a__adj
AhArya: wIn/a__adj
ahaswAMwaraNIya: anek/a__adj
ahavAla: Gar/a__n
Ahawa: rAw/a__n
ahAwA: kAl/A__adj
ahiMsA: loh/A__n
ahiMsaka: wIn/a__adj
ahiMsAwmaka: anek/a__adj
ahIna: wIn/a__adj
ahivAwa: Gar/a__n
AhiwAgni: Apawwi/__n
ahiwa: Gar/a__n
ahiwakara: anek/a__adj
AhlAxa: Gar/a__n
AhlAxiwa: anek/a__adj
Ahnika: wIn/a__adj
ahoBAgya: Karc/a__n
ahqxaya: wIn/a__adj
AhvAna: Gar/a__n
AiMxA: kAl/A__adj
AInA: kAl/A__adj
ajaba: anek/a__adj
ajaBakRa: None
ajabaMXu: None
ajAcaka: anek/a__adj
ajaga: Karc/a__n
ajagallikA: gudiy/A__n
ajA: kAl/A__n
aja: rAw/a__n
Ajakala: Gar/a__n
kala: rAw/a__n
ajAKAnA: jyAx/A__adj
ajalomA: jyAx/A__adj
AjamA: W/A__v
ajamAra: Karc/a__n
ajAmila: Karc/a__n
ajamuKa: Gar/a__n
ajanabI: ajAwI/__adj
ajAna: rAw/a__n
ajana: Gar/a__n
ajanaka: anek/a__adj
ajAnapana: Karc/a__n
ajAnawA: loh/A__n
ajanma: rAw/a__n
ajanmA: kAl/A__adj
ajanya: anek/a__adj
ajapA: loh/A__n
ajapaWya: None
ajara: wIn/a__adj
ajavAina: Gar/a__n
ajavIWI: Axam/I__n
ajAwa: wIn/a__adj
ajAwaSawru: qwu/__n
AjAxa: rAw/a__n
AjAxaKayAla: anek/a__adj
ajAxArI: Axam/I__n
AjAxawabIyawa: None
ajaxevawA: None
AjAxI: ladak/I__n
ajaya: rAw/a__n
ajayA: kAl/A__n
ajAyavaKAnA: jyAx/A__adj
ajayya: anek/a__adj
ajAz: ku/Az__n
ajeya: wIn/a__adj
AjFABaMga: Gar/a__n
AjFAcakra: Gar/a__n
ajFa: wIn/a__adj
ajFA: kAl/A__n
AjFA: kAl/A__n
ajFAna: rAw/a__n
ajFAnakqwa: anek/a__adj
ajFAnapana: Gar/a__n
ajFAnawA: loh/A__n
ajFAnawimira: Karc/a__n
ajFAnI: ladak/I__n
AjFApiwa: wIn/a__adj
AjFapwa: anek/a__adj
AjFArWaka: anek/a__adj
AjFAviXeya: None
ajFAwacaryA: gudiy/A__n
ajFAwa: wIn/a__adj
ajFawA: loh/A__n
ajFAwA: kAl/A__n
ajFAwakula: wIn/a__adj
ajFAwanAmA: jyAx/A__adj
ajFAwapiwqka: None
ajFAwapUrva: anek/a__adj
ajFAwasvAmika: anek/a__adj
ajFAwavAsa: Karc/a__n
ajFAwi: Apawwi/__n
ajFeya: wIn/a__adj
ajIba: wIn/a__adj
ajIbogarIba: wIn/a__adj
ajihma: anek/a__adj
ajihva: anek/a__adj
ajIja: wIn/a__adj
Ajija: wIn/a__adj
ajIjaxArI: Axam/I__n
ajilxa: anek/a__adj
ajina: Gar/a__n
ajira: Karc/a__n
ajiravawI: Axam/I__n
ajIrNa: Gar/a__n
ajIva: wIn/a__adj
ajIvana: wIn/a__adj
AjIvana: Karc/a__n
AjIvikA: kAl/A__n
ajIviwa: wIn/a__adj
AjIvya: anek/a__adj
ajiwabalA: gudiy/A__n
ajiwa: wIn/a__adj
ajIwa: anek/a__adj
ajiwanAWa: Karc/a__n
ajiwavikrama: anek/a__adj
ajUbA: kAl/A__adj
Ajya: Gar/a__n
akabaka: Karc/a__n
akabakA: W/A__v
akabara: rAw/a__n
aKabAra: rAw/a__n
aKabAranavIsI: Axam/I__n
akabarI: Axam/I__n
akaca: anek/a__adj
akacakA: W/A__v
akadabAja: wIn/a__adj
akadabAjI: None
akada: xiK/a__v
aKAdA: kAl/A__adj
akadana: Gar/a__n
aKadEwa: None
aKAdiyA: jyAx/A__adj
Aka: rAw/a__n
aka: rAw/a__n
akAja: Gar/a__n
akalamaMxa: wIn/a__adj
akalamaMxI: Axam/I__n
akalaMka: anek/a__adj
akalaMkawA: gudiy/A__n
akalaMkiwa: anek/a__adj
Akalana: Gar/a__n
akalaxADa: Gar/a__n
akAlI: ladak/I__n
akAlika: anek/a__adj
Akaliwa: anek/a__adj
akalmaRa: anek/a__adj
akAlowpanna: anek/a__adj
akalpa: wIn/a__adj
akalpanIya: anek/a__adj
akalpiwa: anek/a__adj
akaluRa: anek/a__adj
akalyANa: Gar/a__n
akAma: wIn/a__adj
akAmawA: ladak/A__n
akAMda: anek/a__adj
aKaMda: wIn/a__adj
aKaMdana: Karc/a__n
aKaMdasOBAgya: None
aKaMdawA: loh/A__n
aKaMdiwa: anek/a__adj
AkAMkRA: kAl/A__n
AkAMkRiwa: wIn/a__adj
akaMpa: anek/a__adj
akaMpana: Karc/a__n
akaMpiwa: anek/a__adj
AkaMpiwa: anek/a__adj
akaMpya: anek/a__adj
akaMTa: anek/a__adj
akanyA: gudiy/A__n
AkaragraMWa: Gar/a__n
akAra: rAw/a__n
AkAra: rAw/a__n
AKara: rAw/a__n
aKArA: kAl/A__adj
aKarA: kAl/A__n
aKara: k/ara__v
akArana: Karc/a__n
akAraNa: rAw/a__n
akaranIya: anek/a__adj
akaraNIya: anek/a__adj
AkAravijFAna: None
akAraWa: Karc/a__n
akarmA: kAl/A__adj
akarmaka: wIn/a__adj
akarmaNya: wIn/a__adj
akarmI: ajAwI/__adj
akarNaka: anek/a__adj
akarNya: anek/a__adj
aKarotajaMgalI: None
akArpaNya: Gar/a__n
AkarRa: Gar/a__n
AkarRaka: Gar/a__n
AkarRaNa: Gar/a__n
AkarRaNaSakwi: Apawwi/__n
AkarRiwa: wIn/a__adj
akaruNa: anek/a__adj
akarwA: kAl/A__adj
akarwana: anek/a__adj
akarwavya: wIn/a__adj
akarwqka: Karc/a__n
akarwqwva: Karc/a__n
akArya: wIn/a__adj
AkASabela: Gar/a__n
AkASagaMgA: ASA/__n
akAsa: Karc/a__n
AkASa: rAw/a__n
AkASajala: None
AkASakalpa: Gar/a__n
AkASakusuma: Gar/a__n
AkASamaMdala: Gar/a__n
akasara: wIn/a__adj
AkASaXruva: None
akasIra: Karc/a__n
AkASIya: wIn/a__adj
AkasmikaCuttI: None
Akasmika: Gar/a__n
akAta: anek/a__adj
akaTora: anek/a__adj
akAtya: anek/a__adj
akAuMtabuka: Gar/a__n
akAuMta: rAw/a__n
akAuMteMta: rAw/a__n
akavaca: anek/a__adj
akaWa: anek/a__adj
akaWanIya: anek/a__adj
akAwara: anek/a__adj
aKawIja: Gar/a__n
akaWiwa: wIn/a__adj
akaWya: anek/a__adj
akAxamI: ladak/I__n
aKAxya: anek/a__adj
akelA: kAl/A__adj
akelApana: Karc/a__n
akelAxukelA: None
akelI: ajAwI/__adj
aKila: anek/a__adj
aKilA: kAl/A__adj
aKilAwmA: gudiy/A__n
aKileSa: Gar/a__n
akiMcana: wIn/a__adj
akiMcanawA: gudiy/A__n
akiMcijjFa: None
akiMciwkara: anek/a__adj
aKinna: anek/a__adj
AKira: rAw/a__n
AkIrNa: anek/a__adj
akKadapana: Gar/a__n
akla: rAw/a__n
aklamaMxa: wIn/a__adj
aklamaMxI: Axam/I__n
akleSa: Gar/a__n
akliRta: anek/a__adj
akopa: Gar/a__n
akOSala: Gar/a__n
akOtilya: Gar/a__n
akqpA: gudiy/A__n
akqpaNa: anek/a__adj
akqRNa: anek/a__adj
akqRta: anek/a__adj
AkqRta: Karc/a__n
akqSa: anek/a__adj
akqwa: anek/a__adj
akqwArWa: anek/a__adj
akqwAwmA: jyAx/A__adj
akqwrima: anek/a__adj
akqwsna: anek/a__adj
akqwya: wIn/a__adj
akRahIna: None
AkRa: wIn/a__adj
akRaja: Karc/a__n
akRakrIdA: gudiy/A__n
akrama: anek/a__adj
akRama: wIn/a__adj
akRamA: kAl/A__n
AkrAmaka: wIn/a__adj
akRamAlA: loh/A__n
AkramaNa: rAw/a__n
Akramiwa: wIn/a__adj
AkrAMwa: wIn/a__adj
AkraMxa: Karc/a__n
AkraMxiwa: anek/a__adj
akRamya: wIn/a__adj
akRaragaNiwa: None
akRAra: wIn/a__adj
akRara: rAw/a__n
akRarajFAna: Gar/a__n
akRaramAlA: ASA/__n
akRarAraMBa: Gar/a__n
akRarArWa: Gar/a__n
akRareKA: gudiy/A__n
akRawa: wIn/a__adj
akRawA: kAl/A__n
akRaya: wIn/a__adj
akRayA: kAl/A__n
akRayya: anek/a__adj
AkRepa: rAw/a__n
AkRepaka: wIn/a__adj
AkRepaNa: Gar/a__n
akRewra: anek/a__adj
akRINa: wIn/a__adj
akRipakRma: None
AkRipwa: wIn/a__adj
akRiwArA: jyAx/A__adj
akriya: wIn/a__adj
akriyA: ladak/A__n
akRoBa: Gar/a__n
akRoBya: anek/a__adj
akROhiNI: ladak/I__n
AkroSa: rAw/a__n
AkroSaka: anek/a__adj
akroXa: Karc/a__n
akroXamaya: anek/a__adj
akroXana: Karc/a__n
akRubXa: anek/a__adj
akRuNNa: anek/a__adj
akrUra: anek/a__adj
akRuxra: anek/a__adj
AksAida: rAw/a__n
AksIjana: Gar/a__n
akula: wIn/a__adj
Akula: wIn/a__adj
akulA: W/A__v
AkulawA: gudiy/A__n
akulIna: wIn/a__adj
AkuMcana: Gar/a__n
AkuMciwa: anek/a__adj
akuMTa: anek/a__adj
AkuMTana: None
akuMTiwa: anek/a__adj
AkuMTiwa: anek/a__adj
akuSala: wIn/a__adj
akUta: anek/a__adj
akutila: anek/a__adj
akUwa: wIn/a__adj
akuwA: W/A__v
akuwoBaya: anek/a__adj
akuwsiwa: anek/a__adj
akwUbara: Karc/a__n
AKyA: gudiy/A__n
AKyAna: rAw/a__n
AKyAnika: wIn/a__adj
AKyAwa: wIn/a__adj
AKyAwA: kAl/A__n
AKyeya: anek/a__adj
alabama: Gar/a__n
alabelA: kAl/A__adj
alabXa: anek/a__adj
alaBya: anek/a__adj
alaga: wIn/a__adj
alagA: W/A__v
alagarajI: Axam/I__n
alagAU: None
alagAva: rAw/a__n
alaGu: vAyu/__n
alahaxA: kAl/A__adj
Ala: rAw/a__n
AlA: kAl/A__adj
alajja: anek/a__adj
alakA: kAl/A__n
alaKa: Gar/a__n
alaKaniraMjana: Gar/a__n
alakawarA: kAl/A__n
alakohala: Gar/a__n
alakRaNa: wIn/a__adj
alakRiwa: wIn/a__adj
AlakRiwa: anek/a__adj
alakRmI: Axam/I__n
alakRya: wIn/a__adj
alama: rAw/a__n
Alama: rAw/a__n
alamanAka: anek/a__adj
AlamapanAha: Gar/a__n
AlaMba: wIn/a__adj
AlaMbana: Gar/a__n
AlaMbiwa: anek/a__adj
alaMGanIya: anek/a__adj
alaMGya: anek/a__adj
alaMkAra: rAw/a__n
alaMkaraNa: rAw/a__n
alaMkAraSAswra: Gar/a__n
AlaMkArika: wIn/a__adj
alaMkqwa: wIn/a__adj
alamUniyama: Gar/a__n
AlaOlAxa: None
AlApa: rAw/a__n
Alapina: rAw/a__n
alArmaGadI: None
alArma: Gar/a__n
alArmasiganala: None
alasA: W/A__v
Alasa: rAw/a__n
Alasya: Gar/a__n
AlavAra: Gar/a__n
AlaWIpAlaWI: Axam/I__n
Alaya: Gar/a__n
AleKa: rAw/a__n
AleKana: Gar/a__n
AleKanavixyA: None
AleKya: wIn/a__adj
alhada: wIn/a__adj
alhadapana: Karc/a__n
AlhA: jyAx/A__adj
alIbaMxa: Karc/a__n
aligarxa: None
alI: ladak/I__n
ali: Apawwi/__n
alIka: wIn/a__adj
AlIKAnaxAna: None
aliKiwa: anek/a__adj
AliKiwa: anek/a__adj
aliMga: anek/a__adj
AliMgana: rAw/a__n
AliMgya: anek/a__adj
alimoxA: None
alipriyA: gudiy/A__n
alipriya: Gar/a__n
alipwa: anek/a__adj
Alipwa: anek/a__adj
AlISAna: wIn/a__adj
alivqwwi: None
AlIximAga: None
allAha: Gar/a__n
allAhawAlA: gudiy/A__n
allA: kAl/A__n
Alocaka: rAw/a__n
alocana: wIn/a__adj
AlocanA: kAl/A__n
AlocanAwmaka: Karc/a__n
Alociwa: anek/a__adj
Alodana: Gar/a__n
Alodiwa: anek/a__adj
alohiwa: anek/a__adj
AlokaciwraNa: Gar/a__n
aloka: wIn/a__adj
Alokakara: anek/a__adj
AlokamArga: Karc/a__n
Alokana: Karc/a__n
AlokanIya: anek/a__adj
alOkika: wIn/a__adj
Alokiwa: wIn/a__adj
alola: anek/a__adj
alonA: kAl/A__adj
alopa: Karc/a__n
alpabuxXi: None
alpagaMXa: None
alpAhAra: Gar/a__n
alpa: wIn/a__adj
alpaja: anek/a__adj
alpakAlika: anek/a__adj
alpakeSI: Axam/I__n
alpanA: kAl/A__n
alpapawra: None
alpapramANa: anek/a__adj
alpaprANa: wIn/a__adj
alpAraMBa: Gar/a__n
alpasaMKya: wIn/a__adj
alpasAra: anek/a__adj
alpAvakASa: Karc/a__n
alpAvasWA: gudiy/A__n
alpavAxI: None
alpavyaya: Gar/a__n
alpAyu: None
altImetama: Gar/a__n
AlUbuKArA: jyAx/A__adj
AlUxama: Gar/a__n
amacUra: Karc/a__n
ama: rAw/a__n
Ama: rAw/a__n
AmajalasA: None
amalA: kAl/A__n
amala: rAw/a__n
Amaleta: Gar/a__n
amaMgala: wIn/a__adj
amaMwra: anek/a__adj
amaMwraka: anek/a__adj
AmaMwraNa: rAw/a__n
AmaMwriwa: wIn/a__adj
amaMxa: anek/a__adj
amanacEna: Gar/a__n
amAna: wIn/a__adj
amana: rAw/a__n
amanapasaMxa: wIn/a__adj
amAnawa: rAw/a__n
amAnawaKAwA: None
Amane: None
amAnuRa: wIn/a__adj
amanuRya: wIn/a__adj
amAnya: Gar/a__n
amAnyavyakwi: None
amaraguru: vAyu/__n
amara: rAw/a__n
amarAI: ladak/I__n
amaraja: Gar/a__n
amarakoRa: Karc/a__n
amarakota: Gar/a__n
amaraloka: Gar/a__n
amaraNa: Gar/a__n
amaranAWa: Gar/a__n
amarapaKa: None
amarapaxa: Gar/a__n
amarapraBu: vAyu/__n
amarapura: Karc/a__n
amarapurI: Axam/I__n
amarapuRpa: Gar/a__n
amararAja: Gar/a__n
amararawna: Gar/a__n
amarasiMha: Gar/a__n
amaravara: Gar/a__n
amarAvawI: Axam/I__n
amarawA: kAl/A__n
amarawaru: vAyu/__n
amarawatinI: Axam/I__n
amarawva: Karc/a__n
amaraXAma: Gar/a__n
amaraxAru: None
amaraxvija: Gar/a__n
amarIkA: kAl/A__n
amarIkana: wIn/a__adj
amarIkI: ajAwI/__adj
amarRa: Karc/a__n
amarwya: anek/a__adj
amarxiwa: anek/a__adj
amaryAxa: anek/a__adj
amaryAxA: ASA/__n
amAvata: Gar/a__n
amawi: Apawwi/__n
amAwra: wIn/a__adj
amawwa: anek/a__adj
AmAxA: kAl/A__adj
AmaxanI: ladak/I__n
AmaxarabAra: Gar/a__n
amaXura: anek/a__adj
aMBaH: None
aMBaHsAra: None
aMbA: kAl/A__n
aMBa: Gar/a__n
aMbAlikA: loh/A__n
aMBaniXi: None
aMbApAlI: Axam/I__n
aMbara: Gar/a__n
aMbAra: Gar/a__n
aMbarIRa: Gar/a__n
aMbikA: loh/A__n
aMbikeya: None
aMBoja: wIn/a__adj
aMbu: ku/Az__n
aMbujA: gudiy/A__n
aMbujAkRa: None
aMbujAsanA: None
aMbujAsana: Gar/a__n
aMbunAWa: None
aMbuniXi: SAnwi/__n
aMbuwaskara: None
aMbuXara: Karc/a__n
aMcala: rAw/a__n
AMcalika: wIn/a__adj
aMciwa: anek/a__adj
aMda: rAw/a__n
aMdA: kAl/A__adj
aNdA: kAl/A__adj
aMdAkAra: wIn/a__adj
aMdI: ladak/I__n
aMduA: jyAx/A__adj
amerikA: kAl/A__adj
amerikana: wIn/a__adj
ameXA: kAl/A__adj
ameXya: anek/a__adj
ameya: anek/a__adj
ameyAwmA: jyAx/A__adj
aMgahIna: wIn/a__adj
AMga: wIn/a__adj
aMga: rAw/a__n
aMgakriyA: gudiy/A__n
aMgAMgiBAva: Gar/a__n
aMganA: kAl/A__n
aMgAra: rAw/a__n
aMgArA: kAl/A__adj
aMgarakRA: gudiy/A__n
aMgArikA: loh/A__n
aMgaxa: rAw/a__n
AMgika: wIn/a__adj
aMgIkAra: rAw/a__n
aMgIkaraNa: Gar/a__n
aMgIkqwa: anek/a__adj
aMgIkwqwi: None
aMgirA: kAl/A__n
aMgirasa: Gar/a__n
aMgulikA: kAl/A__n
aMgUra: rAw/a__n
aMgUrIbela: None
aMgUrISarAba: None
aMguRTikA: gudiy/A__n
AmIlana: Gar/a__n
amIna: rAw/a__n
amIra: rAw/a__n
AmiRa: Gar/a__n
AmiRapriya: anek/a__adj
amIrI: Axam/I__n
amita: anek/a__adj
amiwa: wIn/a__adj
amiwra: wIn/a__adj
aMja: xiK/a__v
aMjala: rAw/a__n
aMjalikA: kAl/A__n
aMjalika: Gar/a__n
aMjAma: rAw/a__n
aMjanA: kAl/A__n
aMjana: Gar/a__n
AMjaneya: Gar/a__n
aMjanI: Axam/I__n
aMjIra: rAw/a__n
aMjiwa: anek/a__adj
aMjorI: Axam/I__n
aMjumana: rAw/a__n
aMka: rAw/a__n
aMkana: Gar/a__n
aMkiwa: wIn/a__adj
aMkiwamUlya: None
aMkura: rAw/a__n
aMkuraNa: Gar/a__n
aMkuriwa: wIn/a__adj
aMkuSa: Gar/a__n
aMkusa: Karc/a__n
amla: rAw/a__n
amlajaMbIra: None
amlajana: Gar/a__n
amlakAMda: None
amlakeSara: None
amlAna: anek/a__adj
amlanAyaka: Gar/a__n
amlaniSA: None
amlaPala: Gar/a__n
amlapaMcaka: None
amlapawra: Gar/a__n
amlapawrI: None
amlasAra: Gar/a__n
amlavarga: Gar/a__n
amlavAtikA: None
amlavqkRa: None
amlawaru: None
AmnAwa: anek/a__adj
AmnAya: rAw/a__n
amocana: Gar/a__n
amoGa: anek/a__adj
amoGA: loh/A__n
amoGakiraNa: None
amoGaxaMda: None
amoGaxqRti: None
amola: wIn/a__adj
amolaka: anek/a__adj
amOlika: anek/a__adj
amOna: Gar/a__n
amoniyA: kAl/A__n
Amoxa: Gar/a__n
Amoxana: Karc/a__n
Amoxapramoxa: Gar/a__n
AmoxayAwrA: gudiy/A__n
Amoxiwa: anek/a__adj
amqRta: anek/a__adj
amqwAharaNa: Gar/a__n
amqwA: kAl/A__n
